ANO_ELEICAO,ZONA,NUMERO_LOCAL_VOTACAO,LOCAL_VOTACAO,BAIRRO
2012,49,1341,CAIC- ESCOLA MUNICIPAL PEDRO VIRIATO PARIGOT DE SOUZA,SAO GABRIEL
2012,49,1317,COLEGIO CENECISTA JOAO BATISTA LOVATO SOBRINHO,CENTRO
2012,49,1066,COLEGIO ESTADUAL BENTO MUNHOZ DA ROCHA NETTO,ROCA GRANDE
2012,49,1082,COLEGIO ESTADUAL DOM JOAO BOSCO,ROCA GRANDE
2012,49,1406,COLEGIO ESTADUAL JOAO RIBEIRO DE CAMARGO,SAO GABRIEL
2012,49,1180,COLEGIO ESTADUAL PRESIDENTE ABRAHAN LINCOLN,CENTRO
2012,49,1392,COLEGIO ESTADUAL TANCREDO DE ALMEIDA NEVES,ARRUDA
2012,49,1015,COLEGIO PASSIONISTA ROSARIO,CENTRO
2012,49,1031,ESCOLA MUNICIPAL ANDRE NADOLNY,SAO GABRIEL
2012,49,1252,ESCOLA MUNICIPAL CARLOS FONTOURA FALAVINHA,SAO GABRIEL
2012,49,1287,ESCOLA MUNICIPAL CRISTOVAO COLOMBO,CENTRO
2012,49,1325,ESCOLA MUNICIPAL ELVIRA NODARI ALBERTI,ROCA GRANDE
2012,49,1201,ESCOLA MUNICIPAL GABRIEL D ANUNCIO STRAPASSON,OSASCO
2012,49,1104,ESCOLA MUNICIPAL IRMA MARIA ANTONIETA FARANI,CAPIVARI
2012,49,1376,ESCOLA MUNICIPAL ISOLINA CECCON,ARRUDA
2012,49,1350,ESCOLA MUNICIPAL JARDIM DAS FLORES,ROCA GRANDE
2012,49,1333,ESCOLA MUNICIPAL JARDIM GUARUJA,GUARAITUBA
2012,49,1139,ESCOLA MUNICIPAL JUSCELINO KUBITSCHECK,ARRUDA
2012,49,1198,ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,CAMPO PEQUENO
2012,49,1368,ESCOLA MUNICIPAL SANTA FE,SAO GABRIEL
2012,49,1384,ESCOLA MUNICIPAL VITORIO MANOEL FRANCESCHI,ROCA GRANDE
